"type","Market_Title","Market_Id","Original_Date","Price_In_Cents","Amount_In_Dollars","Fee_In_Dollars","Traded_Time","Direction"
"Trade","Will the high temp in Chicago be 50-51° on Mar 29 2024?","494c92da-b406-4068-bd93-b692a9a56c30","Mar 29, 2024","99","8","0.00","Mar 29, 2024 at 7:46PM EDT","No"
"Trade","Will the high temp in Chicago be 52-53° on Mar 29 2024?","262de5e1-98ee-4ba2-8e61-3254012d6d67","Mar 29, 2024","99","7","0.00","Mar 29, 2024 at 6:20PM EDT","No"
"Trade","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","99","40","0.00","Mar 29, 2024 at 6:17PM EDT","No"
"Trade","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","99","7","0.00","Mar 29, 2024 at 6:17PM EDT","No"
"Trade","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","99","40","0.00","Mar 29, 2024 at 6:17PM EDT","No"
"Trade","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","99","40","0.00","Mar 29, 2024 at 6:17PM EDT","No"
"Trade","Will the **high temp in Miami** be <73° on Mar 29 2024?","0570f38a-3aff-49fb-9e11-4beee7e767f8","Mar 29, 2024","99","1","0.00","Mar 29, 2024 at 4:51PM EDT","No"
"Trade","Will the high temp in Chicago be 52-53° on Mar 29 2024?","262de5e1-98ee-4ba2-8e61-3254012d6d67","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 4:49PM EDT","No"
"Trade","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","d0a01e7f-6b60-44dd-b2cf-1ba4de673b21","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 4:49PM EDT","No"
"Trade","Will the **high temp in Miami** be <73° on Mar 29 2024?","0570f38a-3aff-49fb-9e11-4beee7e767f8","Mar 29, 2024","99","9","0.00","Mar 29, 2024 at 4:41PM EDT","No"
"Trade","Will the high temp in Chicago be 52-53° on Mar 29 2024?","262de5e1-98ee-4ba2-8e61-3254012d6d67","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 4:41PM EDT","No"
"Trade","Will the **high temp in NYC** be 51-52° on Mar 29 2024?","730e330e-4d5a-4b79-b704-fc3a28208406","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 4:41PM EDT","No"
"Trade","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 4:04PM EDT","No"
"Trade","Will the high temp in Chicago be 50-51° on Mar 29 2024?","494c92da-b406-4068-bd93-b692a9a56c30","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 3:19PM EDT","No"
"Trade","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","d0a01e7f-6b60-44dd-b2cf-1ba4de673b21","Mar 29, 2024","99","1","0.00","Mar 29, 2024 at 2:46PM EDT","No"
"Trade","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","962f9c27-dc98-489a-8587-399f56674099","Mar 29, 2024","99","18","0.00","Mar 29, 2024 at 2:39PM EDT","No"
"Trade","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","962f9c27-dc98-489a-8587-399f56674099","Mar 29, 2024","99","40","0.00","Mar 29, 2024 at 2:39PM EDT","No"
"Trade","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","d3ef93b8-780f-45df-8a1f-60c6515f3d95","Mar 29, 2024","99","18","0.00","Mar 29, 2024 at 2:39PM EDT","No"
"Trade","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","d3ef93b8-780f-45df-8a1f-60c6515f3d95","Mar 29, 2024","99","40","0.00","Mar 29, 2024 at 2:39PM EDT","No"
"Trade","Will the **high temp in Miami** be 77-78° on Mar 29 2024?","154749a8-9f48-4d30-97df-5ea1dedaabeb","Mar 29, 2024","99","17","0.00","Mar 29, 2024 at 12:45PM EDT","No"
"Trade","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","d3ef93b8-780f-45df-8a1f-60c6515f3d95","Mar 29, 2024","99","10","0.00","Mar 29, 2024 at 11:27AM EDT","No"
"Trade","Will the high temp in Chicago be 48-49° on Mar 29 2024?","7cc296f3-48c2-40a2-9b7a-733d454673dc","Mar 29, 2024","99","27","0.00","Mar 29, 2024 at 11:00AM EDT","No"
"Trade","Will the **high temp in NYC** be 51-52° on Mar 29 2024?","730e330e-4d5a-4b79-b704-fc3a28208406","Mar 29, 2024","99","1","0.00","Mar 29, 2024 at 10:43AM EDT","No"
"Trade","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","d0a01e7f-6b60-44dd-b2cf-1ba4de673b21","Mar 29, 2024","99","1","0.00","Mar 29, 2024 at 10:43AM EDT","No"
